,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
111,GRANDMASTER,8wY6IHFAQPPZW005gnDxFnIzlU5w85_NFq36E_u3ggvZvrM,레이 바오,345,768,737,False,False,True,False,7C1gtRg6OsE2hoCNS6vlfq-16piRRqf4iED2wTI5mNMjkhz-jM3OTcoN
112,GRANDMASTER,iAnwEWTHhLvZfBsC8hWxhl59LeKxD51TsEQtByO1rUR2lQk,어제보단잘하자,381,265,241,True,False,False,False,UoBVFfuByhgUYvJ-EQihs2TY9PNVqDSCcp43W8zEy8a_i5c
113,GRANDMASTER,AF_qDx_ZcFOKkYGXRxZAr6TtRp0ZSEV_nMg8YWpCbhvpXlA,1wancibeishang,555,136,108,True,False,False,False,VFyYPt4GKRPyi7en-eQ7mFDY23liLdu4iHfF4aCGmktyFZj2vD3BfJ7g
114,GRANDMASTER,lT1kGoIgmbw90YL938xNRklfcN9WrngD4cYMAmOXOcDOzgY,창작은 괴로워,650,313,263,False,False,False,False,vPc9rUxAhbLYUywXJqqMWV88GxI__SrqGhwn4uLq7YWo0D4
115,GRANDMASTER,hAp7E4e-2xJSdkVONMTSdQNC-xXicNogmsCBpuuufsdv-kU,fat sheep,269,615,516,False,False,True,False,er7oqwo6t-3tSEorsfC5Mtx29p330eZ43cNa_bAeL4t-wRmbONUPGePe
116,GRANDMASTER,hBujcTt686z29sN5hiSKa_riGO67cZ1nHYzsXCAdJIjr3ao,나는 과일장사,376,416,383,False,False,True,False,T3r64bI2MVawGQiB0cTveT3eEDzuYQaZFtEDoUF2vsM7IvY
117,GRANDMASTER,o5K0dkt9ssjAwb9HpUx-tn4UK4RDgFtOrV1tzTRVOcpr1t0,참포도나무,333,432,363,False,False,True,False,nOMjKy82vDz8rFfCpuvb-J3TKt4I5etfqw-zxvTAZpBiedo
118,GRANDMASTER,VTGiOG51Xp1hbVQEvGfqu2yFjzSgwVM2hWOGhwBSYkyXB9o,쪼꼬맹이 미유,563,232,184,True,False,False,False,4zraIaZBuP6PlqAkNFXGEyrXyHV-xNXIVzpS5CBdOqqcTVY
119,GRANDMASTER,FeG53PGmPFn17opHAHQpA1DT4Txu35yNw9Iosr_0vPmLISo,Lego77,319,222,237,False,False,False,False,iB2bv6bbcB3wcw-O9z2nrUrEgxe_5QQmAGxI72sj_NMioPlGlcaqhJW6
120,GRANDMASTER,ywYTbeePDsV2IQG5saZCpdEt8SoyD--pnvJ253h4nzSHWVs,fan qie guo1,655,386,354,False,False,True,True,oclNyA9S-0uCmhYwUTYG3YFHt4tdZujTMB2vNJUuGLFJIXZOiRcdnL5S
121,GRANDMASTER,g1KuZ68ceQI6QMWlFPOtBz-SfCcUabCsKjRrvbgdL_sqvPc,fuzhumeiyouyong,258,378,362,False,False,True,False,5deuyS5pXn8STsFF0q0cdvY941nKtcLdYZoAq4VAuB7qIQZurkNxSVWQ
122,GRANDMASTER,6leMy-IgIWST7TPn7Gq2dks703jCuekKgTXZPOtX-39HIs4,멍벙이,305,250,223,False,False,True,True,
123,GRANDMASTER,XEv4mbq-oxDbJdAcWpvEEm8xGHkL5PfyYWkgjRvsiXez-ao,why me so diao,469,279,262,False,False,False,False,8vRRMujt4fELY2HB2VN9d9b2pZNzsJTRizhghwKah2RHpvA
124,GRANDMASTER,VDgBqcwujKVPfcLfiSHPUOTmqUV_iFW9anX-LXG3nm0e6Q,내큐를바드삼,463,119,86,False,False,False,True,UqPm9ONuWVoMoHoTmjrlAO9yKB5CrrcEdBzxJ7QFRoQ8
125,GRANDMASTER,JvZ57R5XFEdVHBOgXkHnfwxEJu-AxaAHf6SM5wO2hINOgWA,전설이 될 남자,319,648,626,False,False,True,False,QgZVoW5l-Up-ySFrNGSgHC_Alt5DMwvd8P8sTuPla3E403g
126,GRANDMASTER,oDg6UEN0MZlbrIQbz26LLkYSokWzySoNyz70yZHVu2pV3t4,15dianlllll,360,449,415,False,False,True,False,e3EiLMnYwigCfQQAEOaCIT9Viwb0a0FLpCai-rQdWYYL06XUFxXNgHHR
127,GRANDMASTER,_x6B9vSXSWKYkoviRaBJrGai6xDD1r41BxYh7RIfl1ZIcM8,잔나님,408,130,103,False,False,False,False,yuhRirPuD6h6_6WJei8QAAaIITITo4jy1Gmhoe-WTQKrORI
128,GRANDMASTER,7ha66dmS_ib45VXIgez_LjAedTb4jErmJ05eAUQW3-VyNHo,따 균 Dino7,366,686,671,False,False,False,True,t56vnFi60CtpvAAg9i6pgC26mJcerU8v9xreLTJU55QNbSw
129,GRANDMASTER,7jxpKuJhEuIjnwK0pK7fUpDa-3F9gqQvA6DFhctBqyqnhdY,Kiirito,256,433,412,False,False,True,False,AlyFUsbo6H6hZMbXdue7XkTJpQIy_OFRBq2NQfR4OCnmZRs
130,GRANDMASTER,VtkW2pfm-boe-TUjrluQcmGLEfHXmbTaSDCigEVeXalNiYg,쇼 매,314,214,135,False,False,True,True,k7Wzo4PpqgWpQEoUlWntr-dUPcvjcsV3EvLOIhMcwjsdLxI6LPfOxzTK
131,GRANDMASTER,b3kENJp0XRjANZoQQfQbEHHVF5mKXdH4FrVZ_Ku3kFWUKXI,사랑의 얼음,469,497,463,True,False,False,False,rM0Ih5k4pccAHSs08d1qTXavEtCuEGpg8UkT0To-rn8wF3NMEIrUVz5y
132,GRANDMASTER,InkbJDRDa4mpJGOVV2KOHatN9o65nn8F7L6S8wqqwI4RHYI,rumor has it,480,374,329,False,False,True,False,z8ks9-7qAREGPu5NVz90HQHmnPkqqvd2X36tQB4jHDwzMQU
133,GRANDMASTER,Jm5NcvXdE-tJlWeMHqFz2DfQKCAwUXjKYFgZ1pLT0fDGjw,Furyy,298,140,127,True,False,False,False,OtFEIifh_O29o9L01_TR-ymyC2OKKY7z8rqc2XY4OYMe
134,GRANDMASTER,AsneiWBP4Gqwmr8l__xhztaPbiYqa1qbLNzbpENyAyGsiK0,DoRun,490,297,272,True,False,False,False,tR4Yx2DLnzWKd7wBTOT9JzSDD9Jvon7OnSlCvzVsR6cUO7Y
135,GRANDMASTER,3yJKhrqdQc92Lta_IU4Obb5yTFGiwGsxviSDXsMDPraT4A,비뢰월,309,242,218,False,False,True,False,BjfEXATGhh6vqkfPEGV7-vSEJBlvjHwPQHS9Ja-8G04
136,GRANDMASTER,Omg7LgUccqKijjHAUbsstQOQ6-SoSG-vybyY95HJ9fx2iHI,Sup king lxa,404,438,428,False,False,False,False,mgcp-1M5nsjvUFZhauD-OlpRvHke4TqEjCK-a__pfdCOBRAtCJ60-PH-
137,GRANDMASTER,mBRezJF4XKmRjWVrlgBz_9XSfJ-9sBgKTkA_rx9rkQFnOp0,고대의 문 ,346,409,379,True,False,False,False,KpvUK5U_4CpVO40FGy_16Gv5UvUXH34w_8KAZW0lHeEZk5M
138,GRANDMASTER,HUuC6XCSARMl5mKbaJgJ7bCZ30P7Ewg4ph18vZ5VHr8n4FM,qkrtjdals123,371,219,190,False,False,True,False,sh8KQeeJjsF2kz9h4PJkb_rQT3sVmLfb7tlinGvEVs0JGUtDgJriDkOr
139,GRANDMASTER,topaaIrAe5yGlQLMJ69u2hzdqBXKYkaYM06AqO35D896Hpg,금천구 칼날주먹,571,515,508,False,False,False,False,eRIsoPRGK0LH64TmKZmhw2VXj-oPBgybqNOq0CXnWmh9rrY
140,GRANDMASTER,BDpPmTiLOcg7BAM66dn7jEA3MIfXOjMmM9d_K98u3kzeVPY,린생내로남불,629,207,162,True,False,False,False,obySQX3HmusunB49x_4HQ-F2sqjr8WDW64jD2pdskF0OLc3syWZVbhSe
141,GRANDMASTER,mloAeoyILNf--MqKfQSPohVOkaPJDITVg4uojBVU-Z7FfrE,kongkongde,340,485,446,True,False,False,False,22dmDFtyP9AqhjgD6U80UVM4VCwzXJ7IAKRL-kw2B4LptMeyzHLW6vjc
142,GRANDMASTER,3M5gKRUIY2ID1AAmtmhG2rebmhzKSdIXdzWk0IsSLajvAi8,mg1222,382,776,768,False,False,True,False,OYlgcKVfA-p3d04Js5AjA8bKqU2fb-YLdn1YLCxrzVYrul0
143,GRANDMASTER,nbARH8e0v3Hv44wbghsyJ9i1_7twrcEmjdNiKa6fj7INUoI,mei you dai long,653,149,118,True,False,False,False,emddiNCGldaX2HPpF61ubPQTvSummw_tjJS2zZntgI_tkLdyGRubPtab
144,GRANDMASTER,zxhsxpQWmOGOJsuj4rz5q_DW6jimKkrWcbVugV3x8XtMC5Y,CLG Wind,496,196,161,False,False,False,False,3mekdDyZQJmfSlht83glg4gqpZpL1EXSenNFlV7gAU_omkms3Y3RW6U6
145,GRANDMASTER,g81n9P0F5AT9Mt0Mh0sSAmE-JrALIYGTog8f6CrgUv4BOtA,fabaju,646,577,560,True,False,False,True,T4S2-E7t4ay_XmzS-WzCEE9ypEo-F6iGPUYQkLLLeSdT818qMx6pc7gd
146,GRANDMASTER,aUjJEhZLB7MVgl1UElQlKzTNx-vg5MQYH0Zr6ewaKc4Ya0A,칼챔만할래요,385,391,359,False,False,False,True,4wx7b6f_PM3fCfC4s81DWeE4jA0KnpASEyiPyomKY8qfDy0
147,GRANDMASTER,_vlhw1J4NwLADpwbq227YbYUVcR6VfjhF32yEcysuZjW7NE,어 설,629,442,409,False,False,False,False,M0w32eAxYTUaEdZ9VeezTsW77WGpmWo7z7lkg1C5yKqP7y8
148,GRANDMASTER,Zg46pfiHRHOVcEcqqotZvfFeexO1Sk1THimLJDf7jn8g6Po,YukiJudaii,702,150,105,False,False,False,False,5svHEL-lpTVPOYMv4YfUiOpypjVZF6-3hT8409tX74xBJW5pgDAGCyJB
149,GRANDMASTER,tiB9YI19L-eEKJ0xTxl8j0-Q5luXn9NIFsLu-RhUyfEjuQ,야옹히,489,161,121,True,False,False,False,SJvy9C7pVUJUuqlzd2IIJXpmMHn9S0EoyfqYwmW6bq7V
150,GRANDMASTER,BQVWr8sUvsXNSWh1j-f_-KVWBbsx9d8teBizIVG9Z8fBPA,123465123,315,352,292,False,False,False,False,jAnthk5-OgWsi2luc_RzWVwafqkxoXWtFogPfAgMpro
151,GRANDMASTER,pVQy89UwHgBEd4lDGt9fs0Iae-dK-RDgwcy0FM9idDqq8w,하이드,525,201,175,True,False,False,False,nhOl-WL1-M9eUcqdKx7Jrf_Gu_PvKGTZYzYape4Q-b_B
152,GRANDMASTER,u019j-YHnYKLuaiWLHiVrjDKEE64Udn_rP6TNc5KVv9Zqo0,5Kid,570,165,147,True,False,False,False,G7Dihud4jsW-skGScVgtyYg3eYAyOBaK8INFzhmvgufQnrkNDolOlseS
153,GRANDMASTER,-o-79Z9MR9qdNCrDDC6H2f51u02UsEtkUbSwJGEsQ0XXnbM,정중지와1,517,260,204,False,False,False,False,4o7uKaURhkrHyQVkFn7A49GXKcdPXB6fvG47TKG5tjIF-tsfq51siZEm
154,GRANDMASTER,mHF7XrhsHfXLY3a3VOvwYOdLNS9ap1fesztx4PxxmcXlyFI,PPG0d,614,567,465,False,False,True,False,bbr-tauUyhqeKYW_0hY-utK6VQgoHXnjGieQ1FJ5-x75_08idbs9NMF-
155,GRANDMASTER,oJd1eNojBvppdJ6vaxFSiroM8VPYm43lvEsNGzXdM9HTE2I,뽀허니,564,520,488,False,False,False,False,Z9KjUx_CQWhohwUMr14Ar3tT1IRyFd4Mqq0uqv24ZgI2iqk
156,GRANDMASTER,dRnE6cQT6BskzKPytXarUyN0olJAf6uQP6gg9jWp2RCURw,바람이불었다,283,399,251,False,False,False,False,cHpjqPxLhCgbNJDDviL_cij3AP3-P5NsdDB7kQM3TV49
157,GRANDMASTER,qm-50JYzbGSVWfcKlXkxgVmW-vRPk0nm8uDD48keFtC2itA,이탈리야 전문점,451,206,152,False,False,False,True,thMoFbAo-Yb93hBwlnJ3XATGocNgkEGd5zYGbDrzMJUSIZw
