,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4456120138,114,420,13,1592494088813,SOLO,TOP
1,KR,4453658352,523,430,13,1592394995795,DUO_CARRY,BOTTOM
2,KR,4452262875,86,450,13,1592314550778,DUO_SUPPORT,NONE
3,KR,4452107468,29,450,13,1592313067995,DUO_SUPPORT,TOP
4,KR,4451804221,523,430,13,1592308765400,DUO_CARRY,BOTTOM
0,KR,4462000027,266,450,13,1592733563105,DUO_SUPPORT,NONE
1,KR,4460712027,60,420,13,1592681102377,NONE,JUNGLE
2,KR,4460679039,64,420,13,1592678715887,NONE,JUNGLE
3,KR,4460222292,64,420,13,1592661748577,DUO_SUPPORT,NONE
4,KR,4459875980,245,420,13,1592659948901,NONE,JUNGLE
0,KR,4462422249,57,420,13,1592746863008,DUO_SUPPORT,NONE
1,KR,4462314589,57,420,13,1592744619215,SOLO,TOP
2,KR,4462285042,57,420,13,1592741997653,SOLO,TOP
3,KR,4462157930,57,430,13,1592739745269,SOLO,BOTTOM
4,KR,4462077433,154,430,13,1592736537862,NONE,JUNGLE
0,KR,4459422810,80,420,13,1592646097329,SOLO,TOP
1,KR,4459393607,517,420,13,1592643265285,DUO_SUPPORT,NONE
2,KR,4459196195,517,420,13,1592637797503,DUO_SUPPORT,NONE
3,KR,4459088792,3,420,13,1592635349778,DUO,TOP
4,KR,4459003122,134,420,13,1592633018427,SOLO,MID
0,KR,4457488999,24,420,13,1592567495186,SOLO,TOP
1,KR,4456856813,122,420,13,1592554798315,SOLO,TOP
2,KR,4456831248,164,420,13,1592552427837,SOLO,TOP
3,KR,4456703637,517,420,13,1592548974346,SOLO,TOP
4,KR,4456669243,517,420,13,1592547258078,DUO,MID
0,KR,4462388165,516,420,13,1592745789293,SOLO,TOP
1,KR,4462300773,516,420,13,1592743167880,SOLO,TOP
2,KR,4462273456,516,420,13,1592741484280,DUO,NONE
3,KR,4462133809,516,420,13,1592738599585,SOLO,TOP
4,KR,4462023144,516,420,13,1592735184213,SOLO,TOP
0,KR,4462208666,76,420,13,1592742559395,DUO_SUPPORT,NONE
1,KR,4462221100,76,420,13,1592740766137,NONE,JUNGLE
2,KR,4462171580,30,420,13,1592737916091,NONE,JUNGLE
3,KR,4462076509,76,420,13,1592736303129,DUO_SUPPORT,NONE
4,KR,4462041781,76,420,13,1592734766953,DUO_SUPPORT,NONE
0,KR,4459413967,31,420,13,1592646508222,SOLO,TOP
1,KR,4459318028,31,420,13,1592644438255,SOLO,TOP
2,KR,4459321541,31,420,13,1592642284858,SOLO,TOP
3,KR,4458651726,31,420,13,1592624871278,SOLO,TOP
4,KR,4458483865,31,420,13,1592620885352,SOLO,TOP
0,KR,4458282163,3,450,13,1592594191032,SOLO,TOP
1,KR,4458271186,875,450,13,1592593064370,DUO_SUPPORT,NONE
2,KR,4458173601,235,420,13,1592588003946,DUO_SUPPORT,BOTTOM
