,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
99,GRANDMASTER,jtZIcKCzMGl78yu20pGxWsI4HT3U2kuOd2QaUvz28oYiog,숙련된 냥이조교,485,276,232,False,False,False,False
100,GRANDMASTER,IspOrkVZMeyp3YCkpcdBhNenciF5sbBAiRlFH3P94BoOa8Y,물방울터트리기,436,567,544,True,False,False,False
101,GRANDMASTER,9IQH3lwyavdFvnYhP8NMiGC7a6X-_12mYmjalUbY5OJmJng,KDA1점대인사람,392,85,50,False,False,True,True
102,GRANDMASTER,SWc9E5d1VC12zkNVXHiCLE-53K9fLaHw-rMcVxBJGN5q9E3k-3kA4veasQ,박성범안소윤,685,251,210,False,False,True,False
103,GRANDMASTER,2wW9YEY380SbtQYBobcb2rn_HgVeGFHLIYjjlQNp5lYM4bRLjQ3LOHs0Tg,행복해지는 길,544,161,124,True,False,False,False
104,GRANDMASTER,_IsG_orvPNoXbMZV8LlRQ8Af-XAkW9YFeubrs85Xfc11_kg,쫀득쫀득 슬라임,576,188,139,False,False,False,False
105,GRANDMASTER,Y1d8FX95nB1IqKC1VWFqCVoNooI8bAWiQHjcr36oiemvSFFbCsLRStE5vQ,zjmbaby,416,226,174,False,False,True,False
106,GRANDMASTER,2wcddgQzOT1ub7nmInMqYp2y4wM9dO4ab2QtBtlxRYg-465NFHU3RVQGTw,덕소리 김상남자,617,350,282,True,False,False,False
107,GRANDMASTER,AV_iUiO6Hz_VcYJ8YpLBnU38veXnHk4r2XTMydiXdhTYAenLqv_1tWoj5w,wzzhao1394059072,390,216,156,False,False,False,False
108,GRANDMASTER,Vi9A0vgR0TfT2kw4SUms06Ydpn9_0a0AA5hTocdxudfVqX5QhbPGPBODjQ,wlklklklk,686,658,619,False,False,True,False
109,GRANDMASTER,lMKhGt4ZtpY9TycWVK3REwpWV6uBDJnB3dEZgh8RVWA3fFI,네넹톤넹넹톤,639,498,454,False,False,True,False
110,GRANDMASTER,GLs1NBp08jpNqDlrzGMufCU3SP001dGuqY2cNHKXsRimvd2oRkOuW4P2iA,닭 의 신zz,434,493,444,False,False,True,False
111,GRANDMASTER,ig90M_Tq6k1PGksrd-6JNTN8LvQUx6x6HZASzWMy0wlfOt4,조광희1,594,113,69,True,False,False,False
112,GRANDMASTER,1MTpcp5yCYkOJhPw-cOEDZD7vQSTeoOYJg8IVsOio8cnDeg, 엘 림,673,432,399,True,False,False,False
113,GRANDMASTER,xncPQ00d6dIJNQgwIllYsoPdjf1qIHB4xbRJHwCsBky9SL4,BulyStaL,454,91,66,False,False,False,True
114,GRANDMASTER,v1TqnI4sf5-2gqhLS5x5lNUI4Z7S59dE5REuLBUfbyJmEqPDG4-uZF8RIQ,ybzdhsbs,319,210,187,False,False,True,False
115,GRANDMASTER,KYDR0GpTYKknaBo4lPUR_WvRgQ3FaWFNWpkA_8UmzTus7w,여름아나를왜물어,546,267,226,False,False,False,False
116,GRANDMASTER,u6Py9TgbnQnLK2-0anNPjgKHSjOF1Ahl1HLjZ21VWYy3UFde3JLIDTtyOA,Zhejitianhaonan,419,167,139,False,False,True,False
117,GRANDMASTER,XvPHfJ0p7LufhxJHBKT2169OOyjd1ulw2RbBZjFV6z6jvPY,붸리타스,388,306,281,False,False,True,False
118,GRANDMASTER,Lv8_NZns6l3sTeaxuYppCGsVO5gYLE31tR21rjWEo12eeO0,StarSpring2,582,281,257,True,False,False,False
119,GRANDMASTER,Ppy7jjuw1Zx7lqBuN8lCtbF4Uk-7mtppYOLIdOAp_oG3gg683SOvAWk57g,Sad game,525,181,152,False,False,False,False
120,GRANDMASTER,hHPCE4uMsvu339GFZqAK_SSfESNtiYFioTKeE_QpXaouMsJq,zkxkzkxkzkxkzkxk,593,159,130,True,False,False,False
121,GRANDMASTER,sDkaP2-v_MYtPOPmpy_ugWBFxQS4vPgUZJTlxF2Qu33-vD8,Fanch,519,348,326,False,False,True,True
122,GRANDMASTER,NMdiRWXdyGEpPAoft5-D3C4Gb8nAINVFNaWaxNTOVGdCLTA,함박이지롱,627,150,120,False,False,False,False
